Date,evapConowingo,evapMuddyrun,qLateral,qMarietta,qMuddyrun
1932-01-01,-0.4,-0.4,172,19500,2.2
1932-02-01,-1.13,-1.13,1148,21400,13.3
1932-03-01,0.0,0.0,897,25900,10.1
1932-04-01,0.0,0.0,501,28600,5.9
1932-05-01,0.0,0.0,359,27200,4.3
1932-06-01,-0.35,-0.35,884,27000,11.3
1932-07-01,-0.48,-0.48,2660,31500,32.9
1932-08-01,-0.1,-0.1,1179,39800,14.0
1932-09-01,-0.35,-0.35,1217,69600,15.0
1932-10-01,-0.13,-0.13,988,81900,12.0
1932-11-01,0.0,0.0,779,64900,9.7
1932-12-01,0.0,0.0,642,51300,8.1
1932-01-13,0.0,0.0,609,42100,7.7
1932-01-14,0.0,0.0,584,36500,7.4
1932-01-15,0.0,0.0,524,31900,6.6
1932-01-16,-0.05,-0.05,480,28600,6.1
1932-01-17,0.0,0.0,419,28400,5.3
1932-01-18,0.0,0.0,436,41700,5.6
1932-01-19,0.0,0.0,413,49800,5.3
1932-01-20,0.0,0.0,372,54500,4.7
1932-01-21,0.0,0.0,357,58400,4.6
1932-01-22,0.0,0.0,355,51000,4.6
1932-01-23,-0.03,-0.03,356,44200,4.6
1932-01-24,-0.12,-0.12,420,45700,5.5
1932-01-25,0.0,0.0,418,59400,5.3
1932-01-26,0.0,0.0,365,70300,4.6
1932-01-27,-0.27,-0.27,360,63600,4.6
1932-01-28,0.0,0.0,433,53600,5.6
1932-01-29,0.0,0.0,364,47900,4.6
1932-01-30,-0.26,-0.26,497,44500,6.4
1932-01-31,0.0,0.0,597,45700,7.5
1932-01-02,0.0,0.0,378,55400,4.6
1932-02-02,0.0,0.0,374,60000,4.7
1932-03-02,-0.05,-0.05,359,55500,4.6
1932-04-02,-0.21,-0.21,485,47700,6.2
1932-05-02,-0.47,-0.47,1459,44900,16.1
1932-06-02,0.0,0.0,766,44100,8.6
1932-07-02,0.0,0.0,590,44300,6.9
1932-08-02,-0.02,-0.02,587,40200,7.0
1932-09-02,0.0,0.0,539,35900,6.6
1932-10-02,-0.07,-0.07,466,34200,5.7
1932-11-02,-0.05,-0.05,511,33500,6.4
1932-12-02,-0.09,-0.09,487,37100,6.1
1932-02-13,0.0,0.0,460,73100,5.7
1932-02-14,0.0,0.0,370,82500,4.6
1932-02-15,0.0,0.0,395,78100,5.0
1932-02-16,0.0,0.0,342,67900,4.3
1932-02-17,-0.27,-0.27,394,55000,5.0
1932-02-18,-0.04,-0.04,550,44700,7.0
1932-02-19,0.0,0.0,441,38300,5.5
1932-02-20,0.0,0.0,368,34100,4.6
1932-02-21,0.0,0.0,314,30900,3.9
1932-02-22,-0.04,-0.04,338,28100,4.3
1932-02-23,0.0,0.0,338,24600,4.3
1932-02-24,0.0,0.0,338,22900,4.3
1932-02-25,0.0,0.0,290,20900,3.7
1932-02-26,0.0,0.0,300,19600,3.8
1932-02-27,0.0,0.0,306,18400,3.9
1932-02-28,-0.13,-0.13,346,18100,4.5
1932-01-03,0.0,0.0,380,19300,4.9
1932-02-03,0.0,0.0,337,19300,4.3
1932-03-03,0.0,0.0,300,18800,3.8
1932-04-03,-0.08,-0.08,288,18800,3.7
1932-05-03,-0.29,-0.29,340,18300,4.2
1932-06-03,-1.31,-1.31,394,17500,4.2
1932-07-03,0.0,0.0,597,15900,6.6
1932-08-03,0.0,0.0,956,14600,11.0
1932-09-03,0.0,0.0,546,13700,6.2
1932-10-03,0.0,0.0,381,13400,4.3
1932-11-03,0.0,0.0,349,13300,4.0
1932-12-03,0.0,0.0,322,13300,3.8
1932-03-13,0.0,0.0,307,13500,3.7
1932-03-14,0.0,0.0,301,13600,3.6
1932-03-15,0.0,0.0,300,13700,3.6
1932-03-16,0.0,0.0,303,14400,3.7
1932-03-17,-0.05,-0.05,353,16100,4.3
1932-03-18,-0.48,-0.48,975,17700,11.0
1932-03-19,0.0,0.0,1123,19700,10.8
1932-03-20,0.0,0.0,1256,24000,12.7
1932-03-21,-0.48,-0.48,959,30300,10.4
1932-03-22,-0.4,-0.4,1324,32300,14.0
1932-03-23,0.0,0.0,2128,39000,20.6
1932-03-24,0.0,0.0,1182,41000,13.0
1932-03-25,0.0,0.0,1015,43000,11.6
